Ts (degC),I (a.u.),P (W),q (slm)
4.914000000000000057e+01,2.229148387782000005e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917999999999999972e+01,2.235540021259442903e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.932000000000000028e+01,2.245050603355226107e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.942999999999999972e+01,2.241031533975541592e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.949000000000000199e+01,2.248588877424859442e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.946000000000000085e+01,2.225256446447404567e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.938000000000000256e+01,2.224059570394743234e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.943999999999999773e+01,2.238305425798881799e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.949000000000000199e+01,2.229906105422894005e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.960000000000000142e+01,2.261713123477465473e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.957000000000000028e+01,2.226450242847733200e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.947999999999999687e+01,2.218023082415444311e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.960000000000000142e+01,2.239254205065745860e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989000000000000057e+01,2.207573452753724065e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989999999999999858e+01,2.230938528045148123e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.986999999999999744e+01,2.237733226409743074e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.993999999999999773e+01,2.262291728543202858e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.993999999999999773e+01,2.183213403411698993e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.982999999999999829e+01,2.177509517875982914e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.985000000000000142e+01,2.186692671344001312e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.985999999999999943e+01,2.204276746607169975e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989000000000000057e+01,2.201087335545150097e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.995000000000000284e+01,2.224549974219957832e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.984000000000000341e+01,2.235664685582679231e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.978000000000000114e+01,2.212842491390943062e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.982999999999999829e+01,2.238408655742508825e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.982000000000000028e+01,2.239766659201156348e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989000000000000057e+01,2.188763306334578898e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.978999999999999915e+01,2.245389241917263251e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.996999999999999886e+01,2.229200002753752284e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.986999999999999744e+01,2.202351348016873933e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.984000000000000341e+01,2.309622904060117435e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989999999999999858e+01,2.230574143590266351e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989000000000000057e+01,2.198981962077121250e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.992000000000000171e+01,2.235028798984918278e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989999999999999858e+01,2.228910145883467048e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.989999999999999858e+01,2.216534008956802543e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.985999999999999943e+01,2.224697920714305714e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.992000000000000171e+01,2.251936213054552209e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.996999999999999886e+01,2.254678212236880790e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.992000000000000171e+01,2.239517946484919172e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.981000000000000227e+01,2.238407547067707870e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.978000000000000114e+01,2.251301804689822253e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.967999999999999972e+01,2.226676412509434391e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.960999999999999943e+01,2.209817041015067603e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.964000000000000057e+01,2.210113919492505491e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.968999999999999773e+01,2.209521271212355699e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.978000000000000114e+01,2.205443195695458911e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.985999999999999943e+01,2.208791270441748202e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.993999999999999773e+01,2.224899083599634934e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.000999999999999801e+01,2.238756779633466620e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.013000000000000256e+01,2.205756211550773121e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.003999999999999915e+01,2.176156688233131077e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.997999999999999687e+01,2.189950327500018291e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.999000000000000199e+01,2.223314540921075270e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.010000000000000142e+01,2.176820045328903943e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.031000000000000227e+01,2.216928081259443425e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.021000000000000085e+01,2.226460220921074972e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.024000000000000199e+01,2.179452039332680870e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.025999999999999801e+01,2.214851286964310799e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.034000000000000341e+01,2.231233681917269714e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.038000000000000256e+01,2.296456651550745126e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.050000000000000000e+01,2.212089824379723985e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.050000000000000000e+01,2.259283154661672655e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.053999999999999915e+01,2.194458568844010588e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.061999999999999744e+01,2.221908002142883372e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.070000000000000284e+01,2.226102858073289040e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.081000000000000227e+01,2.273464090996279381e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.085000000000000142e+01,2.207985510225529782e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.095000000000000284e+01,2.239573749783795793e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.090999999999999659e+01,2.211190689107161947e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.109000000000000341e+01,2.203820834887172561e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.106000000000000227e+01,2.294861884426654316e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.100999999999999801e+01,2.304095913750039414e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.099000000000000199e+01,2.243941558984920848e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.095000000000000284e+01,2.246267435554557014e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.114000000000000057e+01,2.228167580131572671e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.122999999999999687e+01,2.194502053533801343e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.117999999999999972e+01,2.257193672199199907e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.128999999999999915e+01,2.275299933298898861e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.132000000000000028e+01,2.214223037904097699e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.145000000000000284e+01,2.204155901052599307e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.142000000000000171e+01,2.222048187913486268e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.132000000000000028e+01,2.204654804718027823e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.135999999999999943e+01,2.218831922283784952e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.122999999999999687e+01,2.179032467509429436e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.128999999999999915e+01,2.202422180018848740e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.128000000000000114e+01,2.221696245253734756e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.125000000000000000e+01,2.229135822800764348e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.121000000000000085e+01,2.234673407114614267e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.117000000000000171e+01,2.248621521738705691e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.111999999999999744e+01,2.272253418101485819e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.113000000000000256e+01,2.204273051024422515e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.128999999999999915e+01,2.210719255939815193e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.139999999999999858e+01,2.228593434445466381e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.131000000000000227e+01,2.224906844323317055e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.136999999999999744e+01,2.215576483477445785e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.140999999999999659e+01,2.218988861362823751e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.143999999999999773e+01,2.239972995902303141e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.154999999999999716e+01,2.255326910188010428e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.140999999999999659e+01,2.209188052838315722e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.132999999999999829e+01,2.188496238890985027e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.131000000000000227e+01,2.196436937453018501e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.121999999999999886e+01,2.236658550958602224e+06,3.500000000000000000e+00,3.500000000000000000e+00
5.132999999999999829e+01,2.193282757612835616e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.132999999999999829e+01,2.184254941804561764e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.256000000000000227e+01,1.973925163562029134e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.375000000000000000e+01,1.976310415827061748e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.439999999999999858e+01,1.915803872030079598e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.489000000000000057e+01,1.902955070075190626e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.529999999999999716e+01,1.935040365507517941e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.582000000000000028e+01,1.909942431484961417e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.627000000000000313e+01,1.957457154276315123e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.643999999999999773e+01,1.910028908120298292e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.675999999999999801e+01,1.924265401381578529e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.671000000000000085e+01,1.939160324295116588e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.661999999999999744e+01,1.938666840817670571e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.657000000000000028e+01,1.946020804031950654e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.660999999999999943e+01,1.947895203580832575e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.682000000000000028e+01,1.934519041973693529e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.686999999999999744e+01,1.934230663336461410e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.682999999999999829e+01,1.925038147725565825e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.659000000000000341e+01,1.926400339511278085e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.653999999999999915e+01,1.941189322387215449e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.674000000000000199e+01,1.955214058759397129e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.671000000000000085e+01,1.950286122406016104e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.684000000000000341e+01,1.944316524473686004e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.684000000000000341e+01,1.929206888204885647e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.681000000000000227e+01,1.933017157161657931e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.688000000000000256e+01,1.947749843994355761e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.663000000000000256e+01,1.931369173646614654e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.649000000000000199e+01,1.943833634999997914e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.649000000000000199e+01,1.929559077236840501e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.649000000000000199e+01,1.961091143937965622e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.654999999999999716e+01,1.939273778684206307e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.646000000000000085e+01,1.892794681353381602e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.642000000000000171e+01,1.941410934163535945e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.645000000000000284e+01,1.932777806588345440e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.647999999999999687e+01,1.926615915169171290e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.657999999999999829e+01,1.935235985018794192e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.661999999999999744e+01,1.960080894812025595e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.671999999999999886e+01,1.947624686926691793e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.686999999999999744e+01,1.927529955958645791e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.696999999999999886e+01,1.944604410366545431e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.709000000000000341e+01,1.915511674624060979e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.693999999999999773e+01,1.922615200516915414e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.689000000000000057e+01,1.976386175272553694e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.695000000000000284e+01,1.934407065817667637e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.693999999999999773e+01,1.925226006513155298e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.711999999999999744e+01,1.925827277819553623e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.722999999999999687e+01,1.937629983496246859e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.721999999999999886e+01,1.972019597932332195e+06,5.500000000000000000e+00,1.500000000000000000e+00
5.724000000000000199e+01,1.963139851804513950e+06,5.500000000000000000e+00,1.500000000000000000e+00
